Latitude,Longitude
21.028789,105.8538
21.028941,105.855441
21.027597,105.855884
21.027434,105.855911
21.027289,105.855905
21.027885,105.853655
21.027004,105.85583
21.027317,105.853572
21.026749,105.855747
21.026761,105.855629
21.026756,105.855535
21.026729,105.855484
21.026631,105.855423
21.026473,105.855404
21.026368,105.855441
21.026323,105.855597
21.02625,105.855581
21.026435,105.854964
21.026866,105.855095
21.026966,105.85512
21.026506,105.854747
21.026528,105.854712
21.026576,105.854674
21.026939,105.854747
21.03142,105.854575
21.027149,105.854792
21.027076,105.853524
21.026926,105.854417
21.025407,105.855313
21.02607,105.853363
21.027599,105.856066
21.026986,105.856115
21.027009,105.856329
21.026864,105.856335
21.026834,105.856356
21.026831,105.856396
21.026861,105.856917
21.027565,105.856879
21.027532,105.856351
21.02752,105.856316
21.0275,105.856302
21.027408,105.856302
21.027412,105.856144
21.027324,105.856351
21.027107,105.856361
21.02615,105.855549
21.0259,105.856463
21.025159,105.856694
21.025894,105.856589
21.025987,105.856954
21.026393,105.856801
21.026461,105.857019
21.026551,105.856989
21.026673,105.85671
21.026698,105.856791
21.026176,105.857815
21.026659,105.857668
21.026804,105.857619
21.026661,105.857091
21.026768,105.857051
21.027737,105.857332
21.029042,105.856528
21.029059,105.856922
21.029315,105.856622
21.029768,105.856699
21.030712,105.856209
21.030567,105.855903
21.03095,105.85605
21.030814,105.855736
21.030822,105.855345
21.031287,105.855836
21.030351,105.85388
21.030762,105.853913
21.030472,105.853827
21.030697,105.853685
21.031267,105.853937
21.031378,105.853913
21.031292,105.853317
21.031605,105.853137
21.032211,105.85317
21.032174,105.853821
21.032144,105.854535
21.031788,105.85292
21.031906,105.85196
21.031911,105.851697
21.031771,105.851354
21.031418,105.851008
21.031242,105.850946
21.031052,105.850943
21.030486,105.851059
21.029108,105.851389
21.028892,105.851394
21.028602,105.851356
21.028041,105.85119
21.027746,105.851185
21.025923,105.851673
21.025462,105.853245
21.024927,105.855165
21.024561,105.856361
21.026253,105.850573
21.026378,105.850106
21.026944,105.85031
21.028857,105.849581
21.029187,105.850595
21.029578,105.850407
21.029893,105.850203
21.02781,105.849983
21.032053,105.851499
21.032244,105.851338
21.031996,105.85163
21.032074,105.851598
21.032124,105.851603
21.032174,105.851622
21.032271,105.851735
21.032266,105.85192
21.032226,105.852934
21.032539,105.855508
21.024243,105.852939
21.027787,105.857633
21.027392,105.857783
21.027933,105.858132
21.026954,105.858622
21.028739,105.857737
21.029134,105.857542
21.028837,105.857762
21.029057,105.857678
21.029147,105.857694
21.029202,105.857815
21.029227,105.857579
21.029197,105.857627
21.029402,105.857493
21.029445,105.857386
21.029883,105.857196
21.030894,105.856723
21.031333,105.856517
21.031513,105.856445
21.031493,105.856541
21.031415,105.856597
21.031408,105.856627
21.03139,105.856723
21.031318,105.85667
21.031207,105.856686
21.031012,105.856766
21.030957,105.856769
21.031438,105.856842
21.029227,105.857888
21.029282,105.858032
21.028789,105.858279
21.028874,105.858464
21.028279,105.858783
21.029392,105.858333
21.029758,105.858142
21.02993,105.858542
21.031303,105.857646
21.030269,105.857898
21.030431,105.858266
21.030461,105.857815
21.030496,105.857888
21.030729,105.85767
21.030664,105.857496
21.029528,105.8587
21.031217,105.857445
21.031595,105.857257
21.032073,105.857053
21.032299,105.856394
21.032544,105.856294
21.031903,105.856605
21.027014,105.858987
21.032677,105.855908
21.033035,105.854468
21.033035,105.853805
21.024718,105.851316
21.028243,105.851026
21.031257,105.855967
